Topic,Keywords
25,"sølund, landsbyen, samarbejde, klasse, gymnasievej, klassepædagog, sølunds, østerbro, skolens, boenhed, yderligere, bofællesskab, indskolingen, søndervangskolen, fændediget, gåsetårnskolen, bofællesskabet, relationer, funktion, udgangspunkt, fællesskaber, forventer, lægger, helt, dyvekeskolen, lærere, klasser, vægt, trivsel, forhold, udvikle, personalegruppe, desuden, selvstændigt, ugen, kompetencer, børne, itc, ulrik, omsorgspædagogmedhjælper, kennedygården, fcn, læring, straffeattest, specialklasserække"
26,"springbrættet, stefanshjemmet, vævergården, spurvehuset, stillinger, aktiviteter, eleven, inden, stillingerne, beboerne, havglimt, pareta, åkanden, kaplegården, pleje, krabben, beboere, støtte, kommunikation, spil, beboernes, samarbejde, års, dit, bruge, trivsel, netværk, rammer, tilgang, afholder, tager, giver, vægter, besat, fantasi, udvikling, bofællesskabet, aktivitetstilbud, vejviser, fagkompetencer, klyngeudvalg, app, hummeltoftevej, vestfjends, vridsted"
27,"barn, vuggestue, søgård, emdrup, wandallsgården, vesterlunden, mosaikken, gl, helt, vigtigt, børnegruppen, rundvisning, børnehaven, grundlag, dagtilbud, kvalitet, hverdagen, leg, dit, dele, mangler, praksis, giver, tværs, hinnerup, snarest, tage, trivsel, tryg, gruppe, samarbejde, elsker, vuggestuebørn, møde, barnet, stuen, måde, komme, høre, første, tid, grupper, hele, dagen, gang"
28,"bøgedal, low, columbusskolen, arousal, højsletten, epilepsi, beboerne, teamleder, pige, børnebastionen, hjælp, svær, brug, skovbyskolen, støtte, sparring, samarbejde, hygiejne, barnet, ledelse, tlf, praksiser, forskel, udvikling, udgangspunkt, beboere, hjælpe, elevernes, afdeling, bevidst, kompetencer, udfordringer, dravet, synstolke, børnedemens, tid, daglige, psykiske, eget, mentalisering, aften, trivsel, omdrejningspunktet, inden, neuropsykologer"
29,"autisme, specialtilbud, nes, afd, låsby, niels, klassen, ebbesens, indenfor, specialpædagog, tilgang, autismespektrumforstyrrelser, adhd, tilbud, autismeområdet, specialpædagogisk, viden, tilgange, skærmet, svært, asf, coteachingklasserne, enkeltmandsindsatserne, sparring, samarbejde, specialpædagogiske, værktøjer, kollega, almen, trives, afdeling, udviklingen, nervesystem, rette, kontakt, struktur, læs, udvikle, netop, opgave, bedst, spændende, fællesskab, bofællesskabet, arousal"
30,"fensmarkskolen, specialklasserække, kkfo, specialskole, dyvekeskolen, multible, klasse, kræver, skrillingeskolen, indlæringsvanskeligheder, generelle, samarbejdet, august, handicaps, skolens, skansebakken, teamsamarbejdet, specialpædagogik, klasser, eleverne, personlige, aktiviteter, dygtige, inden, sociale, ansat, kategori, ambitiøs, dygtiggøre, gang, indgå, lærere, vanskeligheder, indhentet, pleje, broager, undervisningen, pædagogmedhjælpere, københavns, elevernes, prioriterer, kompetencer, søg, mellemtrin, aula"
31,"vorup, august, årgang, bidrage, udvider, pr, munkdrup, sydøst, mølleskolen, tør, praksis, børnehus, midgård, kvalificere, trygt, gang, velkomne, nærmiljø, vuggestue, spor, hånd, inkluderende, børnehavebørn, base, vuggestuebørn, ærlig, fællesskaber, gå, børneperspektivet, brøndbyvester, fantasifulde, blankavej, tyske, augusten, respekterede, tage, føle, samspillet, kreative, lægger, bidrager, brondby, tilknytningsteori, glæde, maj"
32,"leute, autisme, kender, mor, opstart, tålmodig, rette, rolig, drengens, rekrutteringskonsulent, ansat, når, eksempel, opgave, leutes, skovgaard, familiekoordinator, kendskab, familien, linket, opret, hr, dreng, hjem, pige, uger, opgaven, lørdag, dorthe, relation, handicappet, jobleute, forudsigelighed, tilbyder, stillingsopslaget, familie, henvende, angst, torsdag, skabes, konsulent, fundet, kandidat, dk, lyder"
33,"familiehuset, familier, vesthimmerland, familiebehandlere, familien, terapeutisk, familiekonsulent, netværk, vejledning, artes, består, gravid, ambulante, familie, home, ungehuset, spæd, spændende, sårbare, støtte, ekstern, udsatte, familiebehandling, udfordrende, familiererfaring, investeres, døgnoverenskomst, oplysningerskiftende, indsatsererfaring, adhddu, arbejdsmarkedsforvaltning, indsatserengagerede, teamledere, arbejdsmoraldu, målrettetdu, videreudviklefaglig, småbørnsbehandlingsteamet, supervisorkompetenceudviklingtæt, tilgangstærk, kvistholm, indhentelse, myndighed, ungeteam, hovedparten, formå"
34,"soranahus, praksis, blå, klokkeskoven, myretuen, spirehuset, ungecentret, tid, normeret, vuggestuen, bucn, ansættelses, stavtrup, juni, fundament, desuden, skovvej, pr, vuggestuens, baggrund, udfordringer, frem, års, ansvar, ledelsesmæssige, stuer, samarbejdspartnere, unges, gl, menneskesyn, kvalitet, ledelse, positivt, administrative, børne, dk, aktuelle, spirehusets, rødding, ansøgninginden, dersætter, dvs, aldersintegreret, afdelingen, leverer"
35,"saaby, ps, frisa, ægirskolen, kkfo, bøgen, botilbuddet, banker, gfo, hjerte, contact, evner, dagbehandlingsskole, krokushaven, beboerne, tilbyder, samarbejdet, børnegruppen, skolepædagog, skolens, udfordringer, frugthaven, bellahøj, servicevirksomhed, servicere, teorien, skolehjemmet, julia, mentorordningen, contacts, ramirez, vogtmann, dagbehandlingsområdet, bankager, contacter, afvekslende, psykiske, forventninger, planlagt, information, supplerer, dagligdagsopgaver, informationved, grundstenen, kontaktteam"
36,"permatotten, grønnevej, ellemosegaard, børnegården, personalegruppe, læringsmiljøer, tilgang, vej, tid, skæring, tilstræber, aktiviteter, fremmer, lone, hjælpe, anerkendende, præget, førnævnte, ledelsestemaet, fjollede, vallentin, permatopia, lchrltk, mantors, bål, planlægning, pladser, børnehaven, humør, møder, nysgerrig, børnehavegrupper, udnytte, halvdel, dannelse, nærværende, børnehøjde, inspireres, ledelsesteamet, hele, tur, børnehavebørn, udvikling, vuggestuebørn, trivsel"
37,"pvb, vikarbureau, pvbpædagogisk, fortuna, vikariater, eleverne, behandling, undervisning, tidsbegrænsede, dagbehandlingsskole, efterspørgsel, elevs, løser, elev, behandlings, matcher, uddannede, sl, special, behandlingsskolerne, elevernes, udfordringer, tilpasser, daginstitutioner, længdeopgaver, lystspændende, observationshjem, supervisionfør, konsulenthus, lønpakke, mulighedertæt, forvaltninger, ansøgningsprofil, støttepædagogerpvb, asperger, behandlingsskole, specialinstitutioner, dkblivvikarså, eks, jobsamtale, koncernen, bestilt, socialrådgivning, skoler, indenfor"
38,"nest, stestrup, lukke, målrettet, krudtmøllen, dagtilbud, forventer, stuer, uddannet, endvidere, jordbærstuen, morgendagen, skovhusevej, åbne, stue, pædagogmedhjælper, børnegruppe, ramme, troldehøjen, husum, helt, beboer, normeret, slf, fungerer, børnehave, mm, læringsmiljøer, banen, bedste, skriftlige, specialklyngen, rutiner, pædagogmedhjælpere, består, inden, københavns, forudsætninger, nationaliteter, udgangspunkt, specialpædagogisk, børnehaveafdeling, omstillingsparat, autismespektrum, piktogrammer"
39,"ungsyddjurs, rosmus, ungdomsskolehuset, ungdomsskolehus, ungdomsklub, million, klubben, ti, juniorklub, arrangementer, ungdomsskolehuse, skolernes, juniorklubben, ebeltoft, ferier, hvert, udviklingen, udvikling, information, erfaringstærk, berg, rollemodeldu, ungeinitiativrig, ungdomsskole, aktør, struktureretkan, guldberg, ungdomslivet, business, filer, vækstområde, tips, hovedbyer, wordformat, østjyske, storbyen, vedhæftede, pdf, fredage, landsbyer, østjyder, søge, hertil, opland, åbningstiderne"
40,"bevægelseshaven, strynø, skattekisten, tid, himmelskibet, lede, vesterskovvej, bakker, skæringhus, fællesskab, skæring, barn, øens, øen, møde, skovbørnehuset, skovbørnehusets, samarbejde, udvikling, jobiskattekistengmail, dejlige, give, forælder, udeliv, skæringsølyst, sine, rundt, park, barnets, udgangspunkt, nærvær, sparring, danne, følger, interesser, brænder, institutionen, fordybelse, busser, inviterer, ro, linje, nysgerrig, børnehus, vuggestue"
41,"valhalla, kvinden, børnehaveteams, leapsskole, issøskolen, kvindens, leaps, rette, arbejdsfællesskab, støtte, relationsarbejdet, skovbunden, spanagervej, måltidsstøtten, refmosegård, aishah, bælte, superkilen, arbejd, måltidsstøtte, hele, udflytteren, højboskolen, tilbyde, udvikling, mangfoldige, eleverne, personalegruppe, spændende, zonen, herwww, skiftes, nærværende, fællesskab, uger, innovation, olesen, flot, naturskønne, insekter, kontakter, vandkanten, bruger, spiseforstyrrelse, tydelige"
42,"planethuset, høretab, visby, lykkedes, døvblindhed, hoppeloppen, bedste, børnehus, forudsætninger, barnet, hyldeblomsten, tilbud, leg, måde, praksis, miljø, værdi, læse, når, tegnsprog, funktionsnedsættelser, holde, præget, udvikling, åbent, tilgange, sker, personale, positiv, institutionen, kvittering, aflastning, email, ansvarsområder, forskelligheder, personalegruppe, visioner, rn, tilegne, visuel, uddannet, samarbejde, viden, sende, udviklingszone"
43,"udby, kløvervangen, tror, begejstring, gribe, opleve, sprogklasser, krabber, trolles, vuggestuen, yngste, skoletimer, hallen, rammerne, morgenåbner, insekter, unger, små, når, tage, skoven, positivitet, engageret, børneinddragelse, fedt, gade, rigtig, skødstrup, skaber, struktur, passionerede, dagplejen, finder, stuer, søde, stolthed, udeliv, kommunes, henholdsvis, værdi, ansøgninger, store, tværs, trivsel, grad"
44,"hasle, byskole, fussingsvej, nybøl, plf, børneunivers, løfte, medarbejdergruppe, hjernen, vuggestue, team, dagligdag, årgang, samarbejde, sætter, rum, energi, strukturelle, tilbyde, forældresamarbejdet, inkluderende, læring, skolens, specialafdeling, hjertet, pædagogen, pædagogmedhjælpere, villakvarter, ca, tiltag, omstillingsparat, grupper, tre, ligger, deltager, ramme, nysgerrig, medarbejder, børne, børneperspektivet, tlf, dvs, sat, ét, observationer"
45,"borger, støtte, idrætsprojektet, vestfløjen, karriere, oplever, serien, trænere, trekløveret, produktion, familier, beboeren, borgerens, virksomheder, hverdagsliv, kommunen, selvstyrende, lejlighed, udviklingsniveau, energi, østfløjen, vænge, præstehaven, slotsherrens, civilsamfundet, opbygger, socialpædagogisk, samarbejder, sjællands, ressourcer, fx, ret, positive, sociale, sin, vej, bare, forventer, huser, borgers, vækst, bo, enkeltes, egne, skoler"
46,"hoppeland, idræt, risskov, krop, idrætsbørnehus, eghovedvej, bevægelse, leg, dagtilbud, motoriske, børneliv, sansemotoriske, bettina, idrætsbørnehuset, skriver, henvi, vuggestuebørn, understøtte, kultur, sker, mark, heldige, brænder, timerder, daglige, blevet, hele, malling, vækst, samarbejde, lærende, tillidsfulde, professionelle, feedback, vægter, udvikling, møde, vidu, imiterer, sandholm, idrætspædagogisk, aktivitetslege, stræk, hoppelands, tilfældige"
47,"lykkegard, ungeloftet, personalemøder, teamplayerbidrager, lykkegardlykkegard, søgårdens, højsædeter, mildere, adltræning, fridage, gennemsnitligt, praksiser, hjælpsomhed, mangeartede, lyder, inkl, ugers, målgruppenvi, søgården, udviklingsmulighederrelevante, flerfagligt, boafdeling, arbejdsopgavervi, hjælpsomhedgrundigt, smedet, udeområderen, thambour, årsnorm, interne, supervisionkan, introforløben, fleksibelhar, mentaliserende, rul, kollegerhar, sammenhængende, kontaktperson, km, udfordret, karin, kollegaskab, spændende, kort, kognitive, strukturere"
48,"fjord, goethesgade, teresa, center, city, spil, bringes, forhold, valgt, dagtilbuddet, klatretræet, styrkede, uddannelses, børne, læreplan, daglige, gammelt, vedhæfte, daglig, skoven, område, anbragte, alsidige, brugere, circle, nærhedognærværkendetegner, vejledt, dinfaglighedog, eråbeni, vielskerudeliv, eropsøgendei, målrettes, anjuli, efterårsferien, midtbyen, kähler, genereres, gerneinitiativtil, skabeinkluderendefællesskaberbl, projektorganiseret, rundvisninger, projektleder, sunshine, citydagtilbud, området"
49,"badutski, søgård, nyuddannet, emdrup, blåmuslingen, børneperspektiv, besøg, masser, give, åbne, opgaverne, bedst, vuggestuepædagog, spændende, selvfølgelig, sikre, idéer, udvikle, mulige, ansættelsesforholdløn, urokkelige, udforskes, badutskibørnehuset, in, mente, inspirerende, huse, ejer, foretager, andré, intensivt, matthæusgade, sker, vild, haj, oase, svensson, forpligtiger, påbørnehuset, brylle, kompromis, start, stuen, medarbejder, praksis"
50,"spiloppen, himmelblå, marte, meo, bedste, søstjernerne, børnehaveklasseleder, stuer, alderen, bavnehøj, terapeuter, vuggestueafdelingen, nyere, fællesskabet, stærkere, dertil, aldersintegreret, beder, åben, bruger, forældrene, læringsfællesskaber, afd, baggrund, årige, kompetencer, tydelig, bidrager, sker, gæv, funktionsindrettet, funktionsindretning, frodigt, forældreneengagerer, oplærer, videnvi, forældrebrænder, årgangssamarbejde, fornem, fordelpræsentation, fleksibelbaserer, dyssegårdsskolen, dyssebørn, duarbejder, overmenneske"
51,"gilleleje, diagnoser, godkendt, handler, autismespektrumforstyrrelser, atlas, århusvej, bekymrende, tilbuddet, visualiseret, princippet, dybden, naturskønne, komorbide, sansemotoriske, dygtigere, bor, specielt, udviklingstrin, pædagogik, teacch, tilgodeser, skærmet, elevens, dennes, individuelle, diagnosticeret, digitale, adfærd, struktureret, tilværelse, ogeller, omgivelser, vedr, redskab, autismespektret, sørger, bruge, tilrettelægger, undervisning, hverdagen, stu, bosted, lysten, beboer"
52,"bella, bakketoppen, elverhøj, børnegalaksen, erfaren, lunden, funktion, kollega, baunegården, farverige, vuggestuegrupper, kompetencecenter, fag, ordrup, børnehavegrupper, udgående, ørestad, flyttede, fælled, kvalitet, dagtilbud, medhjælper, normeringer, ansættelserne, stuens, bålplads, nyere, januar, topi, nabo, uddannet, indhold, ressourcer, kolleger, kommunes, hverdagen, består, dit, ca, gruppen, gammel, amager, sparring, integreret, tager"
53,"solsikken, børnegården, toftlund, børns, bro, modtageklassen, sparringsrum, løgumkloster, læs, christine, hornbæk, indskrevne, talent, diagnose, december, pædagogik, praksis, udvikling, pr, fuld, kompetencer, fremmer, særlig, læring, videre, bedste, dagtilbud, tilgang, ressourcer, samtaler, yderligere, skolens, maj, ambitiøse, samarbejde, anerkendende, sidste, danske, spændende, evnen, blevet, legende, stemning, trives, barn"
54,"toppen, nordstjernen, lyd, csb, strandparkskolen, afdelingen, vidtgående, kkfotid, visuel, børne, spotte, indlæringsvanskeligheder, sætter, specialfritidsinstitutionen, kkfo, arbejdstiden, kkfoen, velfærd, maj, kompetenceudvikling, ungehjem, positivt, husetdeler, aktiviteterhar, virksomhederne, partner, øresundsskolen, kkfotilbud, tilflytterservice, elevplansskrivning, typisk, lyden, handicap, udvikling, ekstern, podd, morgenvagt, stillingerne, arbejdsfællesskab, periodevis, billedkommunikation, støtteophold, fx, teams, engagement"
